2-conductor-18-gauge-light-brown-cotton-twisted-wire,,active,W182CTBNXXS,By the 250-foot spool,,0,175.00,39.99,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-burnt-orange-cotton-twisted-wire,TRUE,active,W182CTBOXXF,By the foot,,4965,1.50,0.15,"$43,096.20",14.17476156,2-CONDUCTOR 18-GAUGE BURNT ORANGE COTTON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, cotton, no pattern, orange wire, twisted pair, wire","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in a burnt orange <span class=""glossary-braid glossary-braid-name"">cotton braid</span>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-burnt-orange-cotton-twisted-wire,,active,W182CTBOXXL,By the 50-foot spool,,10,1.00,8.80,$88.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-burnt-orange-cotton-twisted-wire,,active,W182CTBOXXS,By the 250-foot spool,,9,175.00,39.99,$359.91,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-and-putty-zig-zag-cotton-twisted-wire,TRUE,active,W182CTBPZZF,By the foot,,0,1.50,0.15,$0.00,14.17476156,2-CONDUCTOR 18-GAUGE BLACK & PUTTY ZIG-ZAG COTTON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, black wire, cotton, putty wire, twisted pair, wire, zig-zag","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in a black and putty zig-zag<span class=""glossary-braid glossary-braid-name""> cotton braid</span>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-black-and-putty-zig-zag-cotton-twisted-wire,,active,W182CTBPZZL,By the 50-foot spool,,0,45.00,8.80,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-and-putty-zig-zag-cotton-twisted-wire,,active,W182CTBPZZS,By the 250-foot spool,,0,175.00,39.99,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-cotton-twisted-wire-with-double-red-tracer,TRUE,active,W182CTBR2TF,By the foot,,8,1.50,0.15,$1.20,14.17476156,2-CONDUCTOR 18-GAUGE BLACK COTTON TWISTED WIRE WITH DOUBLE RED TRACER,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, black wire, cotton, double tracer, historically accurate, tracer, twisted pair, wire","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in black <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. One conductor has a double <span class=""glossary-tracer glossary-tracer-name"">tracer</span> of red cotton.</p>
<p>This wire is made with the tracer in order to replicate the look of wire used in the late 1800s and early 1900s, when there was no PVC insulation under the wire to help differentiate one conductor from the other during the wiring process.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-black-cotton-twisted-wire-with-double-red-tracer,,active,W182CTBR2TL,By the 50-foot spool,,0,45.00,8.80,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-cotton-twisted-wire-with-double-red-tracer,,active,W182CTBR2TS,By the 250-foot spool,,0,175.00,39.99,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-cotton-twisted-wire-with-double-white-tracer,TRUE,active,W182CTBW2TF,By the foot,,0,1.50,0.15,$0.00,14.17476156,2-CONDUCTOR 18-GAUGE BLACK COTTON TWISTED WIRE WITH DOUBLE WHITE TRACER,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, black wire, cotton, double tracer, historically accurate, new 09 19, new wire, tracer, twisted pair, wire","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in black <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. One conductor has a double <span class=""glossary-tracer glossary-tracer-name"">tracer</span> of white cotton.</p>
<p>This wire is made with the tracer in order to replicate the look of wire used in the late 1800s and early 1900s, when there was no PVC insulation under the wire to help differentiate one conductor from the other during the wiring process.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-black-cotton-twisted-wire-with-double-white-tracer,,active,W182CTBW2TL,By the 50-foot spool,,0,45.00,8.80,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-cotton-twisted-wire-with-double-white-tracer,,active,W182CTBW2TS,By the 250-foot spool,,0,175.00,39.99,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-white-cotton-twisted-wire,TRUE,active,W182CTBWXXF,By the foot,,1640,1.50,0.15,$246.00,14.17476156,2-CONDUCTOR 18-GAUGE BLACK & WHITE COTTON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-color twisted, 2-conductor, black wire, cotton, new 09 19, new wire, twisted pair, white wire, wire","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in a black and white <span class=""glossary-braid glossary-braid-name"">cotton braid</span>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-black-white-cotton-twisted-wire,,active,W182CTBWXXL,By the 50-foot spool,,10,45.00,8.80,$88.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-white-cotton-twisted-wire,,active,W182CTBWXXS,By the 250-foot spool,,6,175.00,39.99,$239.94,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-and-white-zig-zag-cotton-twisted-wire,TRUE,active,W182CTBWZZF,By the foot,,40,1.50,0.15,$6.00,14.17476156,2-CONDUCTOR 18-GAUGE BLACK & WHITE ZIG-ZAG COTTON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, black wire, cotton, twisted pair, white wire, wire, zig-zag","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in a black and white zig-zag<span class=""glossary-braid glossary-braid-name""> cotton braid</span>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter (+/- 0.5 mm):</strong> 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-black-and-white-zig-zag-cotton-twisted-wire,,active,W182CTBWZZL,By the 50-foot spool,,0,45.00,8.80,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-black-and-white-zig-zag-cotton-twisted-wire,,active,W182CTBWZZS,By the 250-foot spool,,0,175.00,39.99,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-dark-brown-cotton-twisted-wire,TRUE,active,W182CTDBXXF,By the foot,,0,1.50,0.15,$0.00,14.17476156,2-CONDUCTOR 18-GAUGE DARK BROWN COTTON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, brown wire, cotton, historically accurate, no pattern, twisted pair, wire","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in a dark brown <span class=""glossary-braid glossary-braid-name"">cotton braid</span>.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-dark-brown-cotton-twisted-wire,,active,W182CTDBXXL,By the 50-foot spool,,0,45.00,8.80,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-dark-brown-cotton-twisted-wire,,active,W182CTDBXXS,By the 250-foot spool,,0,175.00,39.99,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-gold-cotton-twisted-wire-with-gray-tracer,TRUE,active,W182CTGDGYF,By the foot,,0,1.50,0.15,$0.00,14.17476156,2-CONDUCTOR 18-GAUGE GOLD COTTON TWISTED WIRE WITH GRAY TRACER,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, cotton, gold wire, historically accurate, tracer, twisted pair, wire","<div id=""product-detail"">
<p>This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in a gold <span class=""glossary-braid glossary-braid-name"">cotton braid</span>. One conductor has a <span class=""glossary-tracer glossary-tracer-name"">tracer</span> of gray cotton.</p>
<p>This product is the wire only. Any other lamp parts shown are not included. </p>
<h2>Notes on the Color</h2>
<p>The gray tracer, which is a subtle contrast with the gold, is not readily visible from a distance. The gold is a soft gold, close to the color of dijon-mustard. If you are looking for a cord that blends into the background, this is a good choice.</p>
<p>This wire is made with the tracer in order to replicate the look of wire used in the late 1800s and early 1900s, when there was no PVC insulation under the wire to help differentiate one conductor from the other during the wiring process.</p>
<h2>Usage</h2>
<p>This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p>You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
2-conductor-18-gauge-gold-cotton-twisted-wire-with-gray-tracer,,active,W182CTGDGYL,By the 50-foot spool,,0,45.00,8.80,$0.00,907.18474,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-gold-cotton-twisted-wire-with-gray-tracer,,active,W182CTGDGYS,By the 250-foot spool,,0,175.00,39.99,$0.00,3628.73896,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
2-conductor-18-gauge-death-valley-green-and-gold-zig-zag-cotton-twisted-wire,TRUE,active,W182CTGGZZF,By the foot,,0,1.50,0.15,$0.00,14.17476156,2-CONDUCTOR 18-GAUGE DEATH VALLEY GREEN & GOLD ZIG-ZAG COTTON TWISTED WIRE,Sundial Wire,Uncategorized,Wire,"18-gauge, 2-conductor, cotton, gold wire, green wire, historically accurate, twisted pair, wire, zig-zag","<div id=""product-detail"" style=""text-align: center;"">
<p style=""text-align: left;"">This is a <span class=""glossary-gauge glossary-gauge-name"">18-gauge</span> wire in the <span class=""glossary-twisted-pair glossary-twisted-pair-name"">twisted pair</span> style where each <span class=""glossary-conductor glossary-conductor-name"">conductor</span> is covered in a gold and green zig-zag<span class=""glossary-braid glossary-braid-name""> cotton braid</span>.<br></p>
<p style=""text-align: left;"">This wire is called Death Valley because the <a href=""https://www.facebook.com/dvconservancy/"" target=""_blank"" rel=""noopener noreferrer""> Death Valley Conservancy</a>, a non-profit organization dedicated to conserving and restoring historic sites in the <a href=""https://www.nps.gov/deva/index.htm"" target=""_blank"" rel=""noopener noreferrer"">Death Valley National Park</a> found wire very, very similar to this wire (the colors are very slightly different) in the <a href=""https://www.facebook.com/pg/ryancampdv"" target=""_blank"" rel=""noopener noreferrer"">Ryan Camp</a> warehouse building. We loved the look and we love authentic historical wire and Death Valley, so we decided to add the design to our product line. We hope you like it as much as we do and that you have a look at the great work the Conservancy is doing.</p>
<p> <img src=""https://cdn.shopify.com/s/files/1/0150/8304/4928/files/67B6E17C-A7FE-4FDF-B016-84BF35D29BE9.jpg?v=1574523334"" alt=""Death Valley Conservancy"" style=""float: none;""></p>
<center></center>
<p style=""text-align: left;"">This product is the wire only. Any other lamp parts shown are not included. </p>
<h2 style=""text-align: left;""><strong>Usage</strong></h2>
<p style=""text-align: left;"">This wire is suitable for table-top, floor, and pendant use and suited to many applications, include wiring fans and small appliances.</p>
<p style=""text-align: left;"">You should consult a qualified electrician to ensure that the gauge of the wire you select can safely support the electrical load of your lamp or small appliance over the length of wire you are using.</p>
</div>
<h2><strong>Attributes</strong></h2>
<p><strong>Approximate Diameter:</strong> (+/- 0.5 mm): 6.4 mm, about 1/4 in<br><strong>Made in:</strong> USA<br><strong>Maximums:</strong> 600 Volts, 105 degrees Centigrade<br><strong>UL:</strong> NOT UL-Listed</p>",Buy by the foot or spool,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
